Mandante	Material	Sales Organization	Distribution Channel	Grid Value	Core Assortment Start Date	Core Collection Start Date	Core Assortment End Date	Core Collection End Date
100	103851			RHL5418		01/02/2021		31/08/2021
100	103852			KB75217		01/02/2021		31/08/2021
100	103853			FT35116		01/02/2021		31/08/2021
100	103853			FT35316		01/02/2021		31/08/2021
100	103854			0865117		01/02/2021		31/08/2021
100	103854			7335317		01/02/2021		31/08/2021
100	103854			8075117		01/02/2021		31/08/2021
100	103854			KB75317		01/02/2021		31/08/2021
100	103856			09Q5318		01/02/2021		31/08/2021
100	103859			WR75421		01/02/2021		31/08/2021
100	103860			AB85219		01/02/2021		31/08/2021
100	103861			8075019		01/02/2021		31/08/2021
100	103861			I215019		01/02/2021		31/08/2021
100	103862			8075119		01/02/2021		31/08/2021
100	103865			0864919		01/02/2021		31/08/2021
100	103865			8074919		01/02/2021		31/08/2021
100	104398			DDB5119		01/02/2021		31/08/2021
100	104398			J5G5119		01/02/2021		31/08/2021
100	104399			DDB5616		01/02/2021		31/08/2021
100	104400			0865517		01/02/2021		31/08/2021
100	104402			2M25418		01/02/2021		31/08/2021
100	104402			J5G5418		01/02/2021		31/08/2021
100	104403			2IK5117		01/02/2021		31/08/2021
100	104404			2IK5019		01/02/2021		31/08/2021
100	104404			2M25019		01/02/2021		31/08/2021
100	202872			06J609O		01/02/2021		31/08/2021
100	202872			06J60JL		01/02/2021		31/08/2021
100	202872			RHL60FQ		01/02/2021		31/08/2021
100	202873			85K58QT		01/02/2021		31/08/2021
100	202873			RHL58FQ		01/02/2021		31/08/2021
100	203464			J5G589O		01/02/2021		31/08/2021
100	203465			01355KU		01/02/2021		31/08/2021
100	203465			J5G55IR		01/02/2021		31/08/2021
100	203467			807549O		01/02/2021		31/08/2021
100	203467			DXH54HA		01/02/2021		31/08/2021
100	203467			NS854IR		01/02/2021		31/08/2021
100	203468			807549O		01/02/2021		31/08/2021
100	203468			DXH54HA		01/02/2021		31/08/2021
100	203471			01356U1		01/02/2021		31/08/2021
100	203471			DDB56UR		01/02/2021		31/08/2021
100	203471			J5G569O		01/02/2021		31/08/2021
100	203588			2IK51HA		01/02/2021		31/08/2021
100	203591			01051IR		01/02/2021		31/08/2021
100	203591			J5G519O		01/02/2021		31/08/2021
100	203592			J5G51IR		01/02/2021		31/08/2021
100	203593			807549O		01/02/2021		31/08/2021
100	203593			DDB54HA		01/02/2021		31/08/2021
100	203593			J5G54FQ		01/02/2021		31/08/2021
100	203591			DDB51M2		01/02/2021		31/08/2021
100	103889			8075237		01/02/2021		31/08/2021
100	103890			0005119		01/02/2021		31/08/2021
100	103890			3YG5119		01/02/2021		31/08/2021
100	103891			0005217		01/02/2021		31/08/2021
100	103891			DDB5217		01/02/2021		31/08/2021
100	103892			0005318		01/02/2021		31/08/2021
100	103892			3YG5318		01/02/2021		31/08/2021
100	103897			0865317		01/02/2021		31/08/2021
100	103897			3H25317		01/02/2021		31/08/2021
100	103897			8075317		01/02/2021		31/08/2021
100	103888			0865238		01/02/2021		31/08/2021
100	103888			8075238		01/02/2021		31/08/2021
100	103889			VA45237		01/02/2021		31/08/2021
100	103893			3H24918		01/02/2021		31/08/2021
100	103893			8074918		01/02/2021		31/08/2021
100	103894			0865318		01/02/2021		31/08/2021
100	103894			8075318		01/02/2021		31/08/2021
100	103895			0865320		01/02/2021		31/08/2021
100	103895			8075320		01/02/2021		31/08/2021
100	103896			1X25217		01/02/2021		31/08/2021
100	103896			3H25217		01/02/2021		31/08/2021
100	103896			8075217		01/02/2021		31/08/2021
100	103898			0865418		01/02/2021		31/08/2021
100	103898			8075418		01/02/2021		31/08/2021
100	203483			000569O		01/02/2021		31/08/2021
100	203483			3YG56M2		01/02/2021		31/08/2021
100	203485			08655QT		01/02/2021		31/08/2021
100	203485			80755IR		01/02/2021		31/08/2021
100	203486			08655QT		01/02/2021		31/08/2021
100	203486			80755IR		01/02/2021		31/08/2021
100	203487			80751IR		01/02/2021		31/08/2021
100	103617			0865514		01/02/2021		31/08/2021
100	103617			8075514		01/02/2021		31/08/2021
100	103618			0865418		01/02/2021		31/08/2021
100	103618			8075418		01/02/2021		31/08/2021
100	103618			LHF5418		01/02/2021		31/08/2021
100	103619			0865415		01/02/2021		31/08/2021
100	103619			8075415		01/02/2021		31/08/2021
100	103620			WR75315		01/02/2021		31/08/2021
100	103648			DDB5618		01/02/2021		31/08/2021
100	103614			08A5216		01/02/2021		31/08/2021
100	103614			IPR5216		01/02/2021		31/08/2021
100	103615			08A5414		01/02/2021		31/08/2021
100	103615			L9G5414		01/02/2021		31/08/2021
100	103616			8075315		01/02/2021		31/08/2021
100	103620			08A5315		01/02/2021		31/08/2021
